幣別,現金買入,現金賣出,即期買入,即期賣出,更新時間
美金 (USD),31.44,32.11,31.79,31.89,2026-03-18 11:23:41
港幣 (HKD),3.906,4.11,4.032,4.092,2026-03-18 11:23:41
英鎊 (GBP),41.32,43.44,42.33,42.73,2026-03-18 11:23:41
澳幣 (AUD),22.23,23.01,22.52,22.72,2026-03-18 11:23:41
加拿大幣 (CAD),22.75,23.66,23.15,23.35,2026-03-18 11:23:41
新加坡幣 (SGD),24.36,25.27,24.85,25.03,2026-03-18 11:23:41
瑞士法郎 (CHF),39.72,40.92,40.4,40.65,2026-03-18 11:23:41
日圓 (JPY),0.191,0.2038,0.1983,0.2023,2026-03-18 11:23:41
南非幣 (ZAR),-,-,1.868,1.948,2026-03-18 11:23:41
瑞典幣 (SEK),-,-,3.39,3.49,2026-03-18 11:23:41
紐元 (NZD),18.17,19.02,18.55,18.75,2026-03-18 11:23:41
泰幣 (THB),0.8573,1.0473,0.9707,1.0107,2026-03-18 11:23:41
菲國比索 (PHP),0.4683,0.6003,-,-,2026-03-18 11:23:41
印尼幣 (IDR),0.00153,0.00223,-,-,2026-03-18 11:23:41
歐元 (EUR),35.91,37.25,36.53,36.93,2026-03-18 11:23:41
韓元 (KRW),0.01968,0.02358,-,-,2026-03-18 11:23:41
越南盾 (VND),0.00099,0.0014,-,-,2026-03-18 11:23:41
馬來幣 (MYR),7.116,8.641,-,-,2026-03-18 11:23:41
人民幣 (CNY),4.529,4.691,4.601,4.651,2026-03-18 11:23:41
